OBJECTID,CLUSTER_ID,FREQUENCY,MEAN_pm_25,STD_pm_25,MEAN_pm_10,STD_pm_10,MEAN_no_2,STD_no_2,MEAN_o3_s35,STD_o3_s35,MEAN_o3_p932,STD_o3_p932,MEAN_DEG_URBA,STD_DEG_URBA,MEAN_Y_LT15_share,STD_Y_LT15_share,MEAN_Y_1564_share,STD_Y_1564_share,MEAN_Y_GE65_share,STD_Y_GE65_share,MEAN_NAT_share,STD_NAT_share,MEAN_EU_OTH_share,STD_EU_OTH_share,MEAN_OTH_share,STD_OTH_share,MEAN_SAME_share,STD_SAME_share,MEAN_CHG_IN_share,STD_CHG_IN_share,MEAN_CHG_OUT_share,STD_CHG_OUT_share,MEAN_EMP_share,STD_EMP_share,Clusters,PCs,Country,MEAN_pm_25_f,MEAN_pm_10_f,MEAN_no_2_f,MEAN_o3_p932_f,MEAN_Y_LT15_share_f,MEAN_Y_GE65_share_f,MEAN_NAT_share_f,MEAN_EU_OTH_share_f,MEAN_OTH_share_f,MEAN_EMP_share_f,MEAN_pm_25_g,MEAN_pm_10_g,MEAN_no_2_g,MEAN_o3_p932_g,MEAN_Y_LT15_share_g,MEAN_Y_GE65_share_g,MEAN_NAT_share_g,MEAN_EU_OTH_share_g,MEAN_OTH_share_g,MEAN_EMP_share_g,any_5pct_pollution,any_5pct_socio,any_5pct_both_types,hotspot,hotspot_elderly,hotspot_children,hotspot_employment,hotspot_natives,hotspot_foreigners
1,1,1565,9.731311512,1.654666943,14.20875573,2.156133888,14.9164629,2.638818312,3906.20879,302.5679553,108.0182197,1.960153336,22.10159744,2.57978146,14.7023434,2.716328002,65.86368567,3.820776184,19.43397093,4.958905874,81.93100421,8.955853198,8.738163957,4.369955388,9.330831837,6.366108223,91.36203272,3.728790067,7.33761002,3.110438778,1.300357261,1.418062577,77.66408307,5.146276367,2,6,AT,0,0,1,0,0,0,0,0,0,0,,,0.098776782,,0.005241194,,0.011986916,,,0.035506087,1,0,0,1,0,0,0,0,0
2,2,1508,10.62097289,1.65389388,16.13314836,2.494156409,13.57551701,3.971897054,4723.335154,310.0981728,112.9725289,2.082046045,23.15318302,3.690013669,14.62568734,3.19932443,65.61610719,5.114341866,19.75820547,6.13202528,80.96053702,10.04908962,9.058607434,4.016859996,9.980855548,7.431402434,90.88206402,5.105032591,7.770207002,4.191418268,1.347728981,2.246462595,75.00108791,6.432019449,2,6,AT,1,1,0,0,0,0,0,0,1,0,0.091422557,0.135437097,,0.045865496,,0.016683906,,0.036671717,0.069664069,0.035506087,1,1,1,1,0,0,0,0,1
1,1,2735,11.21725387,0.567246861,18.77690168,1.056341846,14.29753585,1.525790932,2300.46779,197.2512287,97.38712041,1.96305177,21.21572212,0.818299294,16.70382593,2.57464116,65.06866504,3.057470298,18.22750903,3.211889004,91.54122543,5.054532889,4.151939193,3.14909353,4.306835375,3.114530089,93.05749977,2.603969789,6.632906625,2.47031557,0.3095936,0.376185464,74.10224632,4.706970482,6,6,BE,0,0,0,0,1,0,0,0,0,0,0.020214015,0.016384464,,,0.05892788,,0.030610659,,,0.01986175,0,1,0,0,0,0,0,0,0
2,2,739,10.81016489,1.082082193,18.28919257,1.787033652,18.6231158,2.954477676,2128.171755,172.1514829,96.41337617,1.831682758,28.37077131,3.379038016,19.30596476,3.088471977,63.57623319,3.554111945,17.11780205,4.218766093,74.2915355,10.52003432,9.088088954,4.174629863,16.62037555,8.993912361,89.88545801,3.528172012,9.413050825,3.30518354,0.701491166,0.548280412,58.50970152,10.06789172,6,6,BE,0,0,1,0,1,0,0,1,1,1,,,0.257806111,,0.150949946,,,0.532170259,0.470132303,0.206697084,1,1,1,1,0,1,1,0,1
3,3,295,10.39289619,1.3757741,17.28948258,1.745968379,14.80603063,3.771768309,2318.728541,248.2713543,97.39470127,2.002343849,23.18644068,3.715542719,15.774281,3.443030991,65.30972454,6.062096964,18.91599445,5.73682669,63.20273655,13.34615736,25.49190303,11.85778522,11.30536042,9.910938757,89.12575971,5.218387408,8.44922055,3.955255738,2.425019737,1.891653621,64.07435572,10.63487422,6,6,BE,0,0,0,0,0,0,0,1,1,1,,,0.004088689,7.78E-05,,0.011074218,,1.80497948,0.962719747,0.101899277,0,1,0,0,0,0,0,0,0
4,4,1271,9.232211427,0.882582411,15.75736501,1.224299993,13.1179214,2.122982944,2282.719435,99.70431056,97.94063888,0.724304948,21.36270653,1.488483954,16.7739395,2.76306819,64.51725148,3.20583381,18.70880902,4.059666446,88.41020691,6.808050795,5.931513747,3.297763514,5.658279342,5.453245754,91.22831091,3.963474156,8.490297242,3.881041404,0.281391846,0.33916941,66.09711771,8.066344233,6,6,BE,0,0,0,0,0,0,0,1,0,1,,,,0.00177034,0.004197456,,,0.094852782,,0.068177988,0,1,0,0,0,0,0,0,0
5,5,1212,10.99500076,0.782128341,18.47421162,1.311956935,14.74573989,1.777804081,2332.46595,198.3090689,97.76755711,2.105766612,21.5189769,1.340028326,13.97967047,2.595612241,58.65291115,4.03177284,27.36741838,5.268287362,88.82231585,6.127380529,5.417635911,3.5798486,5.760048238,3.748820709,90.93922698,3.37517499,8.643780874,3.215497096,0.416992148,0.430745382,70.60348623,6.369214177,6,6,BE,0,0,0,0,0,1,0,0,0,1,0.01709834,0.010116305,0.031348342,0.003828297,,0.131332557,0.004661328,,0.017985838,0.068177988,0,1,0,0,0,0,0,0,0
6,6,436,11.46738685,0.79359892,19.97257613,1.301002888,13.0210763,3.687121465,1765.302938,205.8163047,90.32980761,2.370234374,22.60550459,3.15432445,14.32861049,3.831743295,61.48096186,5.764481517,24.19042765,8.269878031,91.60632141,5.075514854,3.57998563,2.024070496,4.813692958,3.745163647,91.35353537,3.60346151,8.285089582,3.38751025,0.361375049,0.428828243,72.65910923,6.355219668,6,6,BE,0,1,0,0,0,1,0,0,0,0,0.02229895,0.063677942,,,,0.278834571,0.000711111,,,0.029115035,1,1,1,1,1,0,0,1,0
1,1,352,17.61587499,2.076587885,27.92023686,2.92430799,16.86225417,3.103958021,2332.853391,364.2699762,92.98885382,4.206511189,22.63068182,3.037274905,13.47754411,2.701360173,64.11458902,3.445658176,22.40786688,4.841165712,98.42086819,0.784215116,0.658581907,0.396604113,0.920549905,0.64257052,97.53719408,1.224790395,1.970069712,1.126590606,0.492736206,0.559007912,65.75317023,8.920270652,6,6,BG,1,0,0,0,0,1,0,0,0,0,0.071804834,0.045325182,0.025529803,0.001207386,,0.151295048,0.000324785,,,0.000215097,1,1,1,1,1,0,0,0,0
2,2,564,13.99467429,1.082191623,22.07409042,1.799630179,16.44248087,2.183216895,2079.680957,468.5725423,88.78803645,4.469466572,21.82801418,1.71934835,13.08801772,2.464361774,63.05989839,3.488783644,23.8520839,4.755922542,98.3889129,1.442121627,0.590177766,0.445469611,1.020909337,1.314898054,97.47172484,1.289701087,2.099686094,1.179338752,0.428589063,0.403316721,68.34403742,7.685191716,6,6,BG,0,0,0,0,0,1,0,0,0,0,,,,,,0.064451339,0.003690742,,,0.0391794,0,1,0,0,0,0,0,0,0
3,3,90,13.14168181,1.717070219,19.75525665,2.482807021,12.03807388,2.847973033,5133.851506,845.8527827,105.8938234,4.716955039,22.94444444,3.676102941,15.16863647,6.444522316,67.58841762,9.640206749,17.24294591,10.03282116,96.53565926,4.172238559,0.718475731,0.773312019,2.745865013,4.023381862,93.79367478,7.578901231,5.72952601,7.36348332,0.476799212,0.660576833,65.76731351,18.17284751,6,6,BG,0,0,0,1,0,0,0,1,1,0,,,,0.111736501,0.002437755,,,0.090943622,0.261187273,0.000215097,1,1,1,1,0,1,0,0,1
4,4,3,14.31010023,1.723863487,24.29071173,3.142110807,19.89553897,4.785509157,2866.722819,926.9411545,95.25082907,5.206128811,24.33333333,4.932882862,13.54988785,3.934477926,73.16792451,5.974510172,13.28218764,3.973629097,64.29164628,13.01213679,0.136928635,0.068440998,35.57142509,13.02586734,65.59761142,11.24964988,1.901328209,0.789057224,32.50106038,10.90918842,42.57455212,11.0140823,6,6,BG,0,0,1,0,0,0,0,0,1,1,,0.046799682,0.17988608,0.02432523,,,,,11.95454253,0.544756439,1,1,1,1,0,0,1,0,1
5,5,112,14.89062268,2.484508921,23.20473739,3.847254906,14.88552062,3.528801678,2643.269552,1160.222746,92.87671573,7.465340496,22.16071429,2.635699375,27.63040499,6.860949543,60.46389119,4.644690559,11.90570382,5.431525144,98.02712009,2.670387408,1.526544688,1.932294515,0.446335219,1.119924482,98.91235289,0.991853982,0.644000133,0.538144598,0.443646978,0.78338358,34.07432965,14.30119079,6,6,BG,0,0,0,0,1,0,0,1,0,1,0.040567322,,,,0.821548367,,0.01017364,0.949803682,,0.930113202,0,1,0,0,0,0,0,0,0
6,6,288,16.43571145,1.227224378,26.70961855,2.51121712,22.33678899,4.257785933,2071.812281,318.2635709,90.30041303,3.236698908,29.41666667,2.200728419,15.13174897,2.757122685,65.40506744,3.731009606,19.46318359,5.124342477,97.03987134,1.621274,0.782922251,0.403147285,2.177206409,1.388603095,94.14061415,2.872076643,5.387989133,2.75142571,0.471396712,0.290658365,76.4691311,5.666011439,6,6,BG,1,1,1,0,1,1,0,1,1,1,0.103762536,0.099581554,0.122703387,,0.116743484,0.128762086,,0.089698952,1.132614846,0.118885187,1,1,1,1,1,1,1,0,1
1,1,188,14.20310904,0.920945701,32.96953734,2.934275577,23.67874528,2.234220497,7529.733295,524.2304803,109.759699,5.182768008,21.31914894,0.776840798,17.84117191,4.083294707,67.5804054,4.14966008,14.57842269,6.316980433,75.52479959,15.76705305,9.077088847,6.423324572,15.39811157,11.2954337,94.80439439,2.759257816,3.542735466,1.978669469,1.652870148,1.495748359,65.3731977,5.126928802,3,5,CY,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0.004817261,0,0,0,0,0,0,0,0,0
