OBJECTID,CLUSTER_ID,FREQUENCY,MEAN_T,STD_T,MEAN_pm_25,STD_pm_25,MEAN_pm_10,STD_pm_10,MEAN_no_2,STD_no_2,MEAN_o3_s35,STD_o3_s35,MEAN_o3_p932,STD_o3_p932,MEAN_RASTERVALU,STD_RASTERVALU,MEAN_Y_LT15_share,STD_Y_LT15_share,MEAN_Y_1564_share,STD_Y_1564_share,MEAN_Y_GE65_share,STD_Y_GE65_share,MEAN_NAT_share,STD_NAT_share,MEAN_EU_OTH_share,STD_EU_OTH_share,MEAN_OTH_share,STD_OTH_share,MEAN_SAME_share,STD_SAME_share,MEAN_CHG_IN_share,STD_CHG_IN_share,MEAN_CHG_OUT_share,STD_CHG_OUT_share,MEAN_EMP_share,STD_EMP_share,Clusters,PCs,Country,MEAN_pm_25_f,MEAN_pm_10_f,MEAN_no_2_f,MEAN_o3_p932_f,MEAN_Y_LT15_share_f,MEAN_Y_GE65_share_f,MEAN_NAT_share_f,MEAN_EU_OTH_share_f,MEAN_OTH_share_f,MEAN_EMP_share_f,MEAN_pm_25_g,MEAN_pm_10_g,MEAN_no_2_g,MEAN_o3_p932_g,MEAN_Y_LT15_share_g,MEAN_Y_GE65_share_g,MEAN_NAT_share_g,MEAN_EU_OTH_share_g,MEAN_OTH_share_g,MEAN_EMP_share_g,any_5pct_pollution,any_5pct_socio,any_5pct_both_types,hotspot,hotspot_elderly,hotspot_children,hotspot_employment,hotspot_natives,hotspot_foreigners
1,1,229,2156.834061,1684.026797,8.305696506,0.523230495,13.71423092,0.763718341,7.993636961,1.890317945,2085.99658,258.64304,91.73549399,2.346674397,23.84279476,3.825319968,17.05245148,3.730658028,64.3184844,5.911377256,18.62906412,5.483818792,76.0590968,8.213454988,4.399067885,2.559878206,19.54183532,7.219701639,86.26936212,4.076342652,12.74928981,3.746196411,0.981348067,0.820331147,63.85923683,10.04952126,7,6,DK,0,0,0,0,1,0,0,1,1,1,0.002732806,0.003256926,,,0.076481132,,,0.153604789,0.520594971,0.265729144,0,1,0,0,0,0,0,0,0
2,2,485,2954.402062,3452.842706,8.42094998,0.362492915,14.21771717,0.549959371,8.623178815,2.028615772,1938.847843,217.5533235,90.35755405,1.782568839,26.36082474,4.234318583,17.93890797,3.249966913,62.60842682,5.474683231,19.45266521,5.102674483,87.98444513,5.454091702,3.418840102,1.717135606,8.596714771,4.171131122,88.33626167,3.848183856,10.76935102,3.468543065,0.894387304,0.697627531,80.82849716,6.829395482,7,6,DK,0,0,1,0,1,0,0,0,1,0,0.013876437,0.036712686,0.05317283,,0.051984108,0.044210546,,,0.072745296,0.035682935,1,1,1,1,0,1,0,0,1
3,3,581,1045.993115,739.144944,8.200889299,0.665316801,13.3712746,0.738422255,7.419589884,1.60553376,2271.540091,194.382432,93.00576316,1.729159823,21.5524957,1.318076499,14.36771849,3.848674666,55.64316614,6.112811743,29.98911537,7.986964908,91.62094437,3.558605737,2.734738051,1.821934732,5.644317577,2.657928326,88.50522338,4.181578285,10.93141248,4.000148775,0.563364139,0.596761806,82.31312877,8.02676001,7,6,DK,0,0,0,0,0,1,0,0,0,0,,,,0.004210534,,0.100547569,0.000394541,,,0.018367675,0,1,0,0,0,0,0,0,0
4,4,178,2652.52809,2517.177442,8.283060512,0.512932083,13.66970969,0.943418148,8.187809796,2.066309819,2150.44423,191.0791587,92.6156636,1.987289826,24.65730337,4.132067994,13.43284873,6.975243658,70.24668342,10.10506313,16.32046785,9.474362929,88.17292481,5.227772197,3.813323181,2.202561774,8.013752012,3.712221517,71.68249315,9.386251476,26.92356041,9.16432322,1.393946438,1.129381226,73.84255026,9.318953969,7,6,DK,0,0,0,0,0,0,0,1,0,1,0.010019793,0.019505217,0.024290925,0.009594646,,,,0.115385063,,0.094605981,0,1,0,0,0,0,0,0,0
5,5,268,1209.208955,964.845652,7.241583772,0.520463959,13.08225181,0.631057262,4.660619221,2.021469729,1573.750215,287.0644382,86.25733353,2.561208176,21.68656716,1.70664228,14.82516545,3.668835461,57.92556681,6.194645626,27.24926774,7.790732607,91.58481041,4.518528607,2.266366257,1.63991486,6.148823332,3.688164269,88.01188784,4.449408364,11.47295508,4.24158171,0.515157082,0.531341103,78.04366993,9.679507124,7,6,DK,0,0,0,0,0,1,0,0,0,0,,,,,,0.400798679,0.038695389,,,0.035682935,0,1,0,0,0,0,0,0,0
6,6,62,2393.870968,2915.992998,8.066421479,0.515993756,13.40818023,0.816318895,8.861438413,3.546793062,2073.769634,318.042407,91.59021686,2.864579673,26.87096774,4.259931004,15.84091999,5.913899129,68.85449329,9.235524576,15.30458673,10.39330686,75.4234146,7.482036624,11.72514521,5.416329918,12.85144019,5.447071628,75.8274703,11.2945993,18.647966,9.722690586,5.524563706,5.286381828,74.48536947,11.35383774,7,6,DK,0,0,0,0,0,0,0,1,1,1,,,0.027630135,,,,,1.665370374,0.494924576,0.085159377,0,1,0,0,0,0,0,0,0
7,7,573,794.469459,526.0476937,8.025763935,0.494366898,13.26536143,0.676980197,5.882127671,1.734417902,2193.001681,163.9893896,92.61580121,1.670562007,21.39790576,1.415002957,21.97484033,5.032244018,61.38261206,4.347707447,16.64254761,5.693538165,92.42346387,3.392261588,2.400453948,1.521704968,5.176082182,2.484171361,89.41762425,4.105313329,10.06096067,3.949126311,0.521415078,0.613184573,84.67513375,5.556700696,7,6,DK,0,0,0,0,1,0,0,0,0,0,,,,1.49E-06,0.224982054,,0.008759127,,,0.028695361,0,1,0,0,0,0,0,0,0
1,1,107,788.8878505,745.6815716,5.466193933,0.576218564,10.85877849,1.176721521,5.454471557,1.312857341,1769.523175,161.6299364,89.41599923,1.696745056,21.54205607,1.909659526,23.07120773,5.504555334,66.19656598,3.686480076,10.73222629,5.604576949,92.04551407,4.121091592,1.756098611,1.455557602,6.198387316,3.617798526,91.97237244,3.731988742,6.911587059,3.687600817,1.116040502,1.216233872,79.22414472,5.132705489,7,6,EE,0,0,0,0,1,0,0,1,0,0,,,,,0.427111347,,0.005193905,0.112884269,,0.000188483,0,1,0,0,0,0,0,0,0
2,2,153,1485.437908,1440.998972,5.883843728,0.543590653,11.48135853,1.220427761,7.396477018,1.539611328,1883.552654,134.4787569,90.70039538,1.403648805,23.03267974,3.478161759,16.10121556,2.855556906,61.19001573,3.663678307,22.70876871,5.121699931,92.54436276,4.08573002,1.203608225,1.167688182,6.252029011,3.834160536,92.91330069,3.054238594,6.246967416,2.889918667,0.839731899,0.632313567,79.20921509,5.744840184,7,6,EE,0,0,1,0,0,1,0,0,0,0,0.048775195,0.036470479,0.129743884,,,0.255418591,0.004737709,,,0.031723835,1,1,1,1,1,0,0,0,0
3,3,1,4,0,4.58952,0,8.7344561,0,3.1656256,0,2209.469482,0,93.920723,0,30,0,100,0,0,0,0,0,50,0,50,0,0,0,100,0,0,0,0,0,0,0,7,6,EE,0,0,0,0,1,0,0,1,0,1,,,,0.021618802,3.334406815,,,10.78490771,,7.92092E+13,0,1,0,0,0,0,0,0,0
