OBJECTID,CLUSTER_ID,FREQUENCY,MEAN_T,STD_T,MEAN_pm_25,STD_pm_25,MEAN_pm_10,STD_pm_10,MEAN_no_2,STD_no_2,MEAN_o3_s35,STD_o3_s35,MEAN_o3_p932,STD_o3_p932,MEAN_RASTERVALU,STD_RASTERVALU,MEAN_Y_LT15_share,STD_Y_LT15_share,MEAN_Y_1564_share,STD_Y_1564_share,MEAN_Y_GE65_share,STD_Y_GE65_share,MEAN_NAT_share,STD_NAT_share,MEAN_EU_OTH_share,STD_EU_OTH_share,MEAN_OTH_share,STD_OTH_share,MEAN_SAME_share,STD_SAME_share,MEAN_CHG_IN_share,STD_CHG_IN_share,MEAN_CHG_OUT_share,STD_CHG_OUT_share,MEAN_EMP_share,STD_EMP_share,Clusters,PCs,Country
1,1,506,1607.2371541501977,1225.0730974687135,8.573080231422924,1.016050250125088,13.176751693082997,0.947294996847222,8.18915965968379,2.3696691883215064,2149.703136579636,261.82360699610615,91.67735217292508,1.7587179913939333,23.444664031620555,3.6837751280218543,19.128899453360738,5.77367325903447,66.25835589377077,5.889671193242448,14.612744652868457,7.21999672482018,77.42005680911004,7.717570390046819,8.141311636316077,4.52029039952723,14.43863155457382,4.916642482050035,91.55141838952638,5.537260227956168,6.504032671135229,4.413017188544055,1.9445489393383428,1.8922702891972996,65.31868063818597,8.137939586323832,2,6,IE
2,2,920,2297.0076086956524,2043.3595304742414,7.144238597065218,0.5854596798138627,11.296433664347829,0.8689007457983934,10.13460992021739,2.985148282644649,1535.6843915192399,249.03456835116842,88.32069666293484,1.8141648406979447,24.766304347826086,4.206678383160512,20.671319304481056,5.7160609735311425,66.08091612612456,6.437523907182273,13.24776456939442,8.219157892416966,74.94168379131662,9.679337848283923,8.504150040379956,5.757445888473113,16.55416616830347,6.306304111625382,91.98120828633714,4.764152374085762,6.093614453147107,3.5987029399692685,1.9251772605155568,2.129550004179785,67.55636627135371,7.643212982217332,2,6,IE
1,1,14316,2000.8642777312098,2671.984860004193,11.33152741635937,1.7926873638052663,20.603307543112617,3.849356210579844,12.907813207278615,5.307602533340871,5791.417737391218,1223.0342671525239,112.83161355252884,8.244411986597406,22.849748533109807,3.347911168592315,12.995647736341658,2.970439220819471,64.18529040068435,4.334338519051858,22.819061862973808,5.94563956872956,91.37831520496557,6.124546185594709,2.6841918698904705,2.4061907060599492,5.937492925144247,5.024254503269801,94.86806423331988,2.7579048085101894,4.67338319666593,2.5460420962273105,0.45855257001449773,0.7942525830800499,59.97729676124678,9.853606311765619,2,6,IT
2,2,9044,1824.939960194604,2268.273917032331,18.007815513589208,2.5266947360848295,27.19475205560604,3.670881792078779,20.54208343463067,4.990554169316555,7661.418599887895,711.9665945562936,138.44786893491883,6.294392818541596,22.89639540026537,3.4274832668952078,13.255809956624182,2.5498138823733094,63.86402910337407,3.8069050700317737,22.880160940001677,5.008823520544552,88.42732072868104,6.243023739297217,2.5920921055954227,1.6348840923883328,8.980587165723655,5.6847821645591665,94.4793136256303,2.194555207013685,5.041919801649408,2.0350605555603596,0.47876657272022743,0.5291730090069877,70.5667435007884,4.07810650607901,2,6,IT
1,1,7,2743.714285714286,2339.737785471249,10.467301500000001,0.736489740246291,14.832910128571429,0.6478776231778985,9.163361885714286,2.0507856580920145,2190.6621442428573,43.093025154396784,94.17664448571429,0.21247522306580666,21.714285714285715,0.4879500364742888,12.612856825645329,1.0347988043540812,66.58086242609168,3.8781667106983497,20.806280748262974,3.03147714873555,51.02132972310837,5.770602929650776,3.130754193680456,0.45362902376598196,45.84791608321115,5.548325075553568,96.1025933600096,0.7985683224358948,3.087651016555731,0.8801322568460069,0.8097556234346601,0.2482536264530425,64.27063061596336,5.151654964241005,7,6,LT
2,2,124,827.3306451612904,897.0377603219849,11.44491496048387,0.8379281938428499,18.43022766048387,2.066302908540818,8.56236870403226,2.1061103908882877,2284.6321863943554,219.41476882034655,96.73229309758061,1.7847067108715577,21.258064516129032,1.1677994575438042,23.265341670074985,4.742225612744404,67.16041931331027,3.0745254501545256,9.574239016614742,3.743596750952102,94.77677604850497,2.326799216237729,1.0846390067499554,0.5303637860014432,4.1385849447450305,2.281926704860091,94.06407325026137,2.8548590232029647,5.425405051059218,2.8576294558698794,0.5105216986794049,0.3292715632097016,75.58781484875959,4.553296836730573,7,6,LT
3,3,253,1540.0395256916995,1545.202403145131,10.972374643873515,0.6836231713027544,18.05473073003952,1.7297686949878752,10.604558821739134,1.8768681380753653,2309.1140831442654,130.34792533291224,95.53695787391304,1.6191398291436414,21.41897233201581,0.49436881678480477,12.638260134282756,2.945656390012466,65.18850008293384,4.326192434825766,22.17323978278343,5.8348326201414675,95.55798056738362,3.3642392580077773,0.7752700704720352,0.4129983569198909,3.6667493621443255,3.4003142826686688,94.08338366661148,2.0329797559626117,5.401722631814825,2.0317183717225484,0.5148937015736867,0.2591988119511161,67.75799242368254,7.725540789314485,7,6,LT
4,4,212,2289.9103773584907,2516.5794351740797,12.046355627358489,0.6396704091406504,22.70655529433959,1.7555284277181322,12.661624585849044,2.2878604006539707,2686.7344141514136,100.03506970541586,101.1064610849058,0.732101572806512,23.797169811320753,3.9272280191192634,14.842691381099053,3.159160456330554,65.01919401050229,3.7432551893023414,20.138114608398716,5.405683785685003,96.43920798438161,1.7186133752665274,0.8579396033481391,0.3564697716501742,2.7028524122702056,1.722170531959919,93.57556677769861,2.2473958859319256,5.805836097226144,2.2613135030498337,0.6185971250751774,0.271181267959388,70.69825058423528,4.580448532622182,7,6,LT
5,5,117,1124.5384615384614,1619.7675734630695,10.990554271794874,0.9121234040835462,18.238827345299146,1.8194463531643505,9.951209882051286,2.123750282001423,2361.4018137358976,210.14249130273848,95.3795298367521,2.3652330558834493,21.427350427350426,1.4522054530493191,14.84662365447998,3.505507458361945,67.18965324497121,3.543871608532013,17.963723100548794,5.1939889430382875,94.95958711145347,2.3728632202189317,1.4626734465102316,0.5832923811658699,3.5777394420362416,2.313094250498105,93.36866550627133,2.5002093679021677,5.425721506855528,2.3852189482227573,1.2056129868730987,0.5021662993303596,67.11122617236512,5.636985802838591,7,6,LT
6,6,133,4923.631578947368,3699.6324827173084,12.790112053383456,0.5857271402832315,21.376363770676697,1.0890232274800438,13.882312221052631,2.357735550760057,2180.2981067097794,73.21202018372352,95.80099993233071,0.9716074999713309,28.616541353383457,3.211536506879428,15.894441382368703,3.3407146859291603,65.06027239231557,3.764013361166057,19.04528622531575,5.441937492298954,92.03965182760341,3.051438867918969,1.0347682847295918,0.3260987264000351,6.925579887667035,2.97316668925302,94.35957974136872,2.1653605418196196,5.021112268895042,2.089007709641725,0.6193079897362005,0.19416330016713024,73.90252847218413,4.243293950960315,7,6,LT
7,7,66,646.969696969697,392.6505187018474,11.502709243939393,0.7985017732289815,19.091758853030303,2.3712944114652537,9.082616107575761,2.374096806642781,2446.7338534242413,275.64682255874783,97.92306668787882,2.4329997902793745,21.151515151515152,1.1127571335329338,20.446430619485803,5.11844679813441,69.94162865631948,3.6547015450319895,9.611940724194703,5.16376824173448,94.58979633466494,3.2415204778765614,1.0235652919511886,0.6773044553153569,4.386638373383852,3.268671600988275,79.83167087046264,6.645260533214378,19.543534671217987,6.5321795844380635,0.6247944583193575,0.538087618422018,73.49172249425236,8.60812466056013,7,6,LT
1,1,15,1036.6,879.2130247312894,7.41968802,0.21668033898767297,14.105562906666666,1.1104342790023436,12.92009722,2.6000377439774547,2455.082600906667,238.93391711611895,99.45759837333335,2.3896771112986595,23.0,3.6449573777637356,15.756531965226225,2.514293390548589,71.75957639639577,6.859812601206553,12.483891638378005,5.012098002875431,43.75855752158797,15.359329599558103,31.693278901297642,10.137895629768526,24.548163577114398,12.273037677351615,75.19879228934542,8.570914649852321,17.700191719933287,5.402296878978933,7.1010159907213,5.36190466268764,63.15009656851469,9.582749431892907,6,5,LU
2,2,30,475.3,173.73744558960223,7.030173356666667,0.2823210138812213,12.51724983666667,0.8516420931718094,8.902717489999999,1.4877456360962373,2839.9642740899994,166.76336638709938,102.65758869666666,1.8107434471046013,21.3,1.6431676725154907,18.971488915108658,4.575172425118199,68.25476748485235,3.8401925973810673,12.77374360003899,3.603871718785022,53.023496415052804,12.63685953759651,32.437841118454166,8.283913689647234,14.538662466493031,6.5155407733946396,89.51021071691922,4.94790011775339,8.299902828518588,3.591497830843325,2.189886454562216,2.3751440887767576,67.50709130188159,5.939155800101327,6,5,LU
3,3,44,3466.1363636363635,2550.5730372176795,7.644420452272726,0.15825361270889313,15.39701260227273,0.27097366980300375,17.18343588863636,1.5238398556239496,2227.678366913635,25.598837451209743,97.4607882090909,0.35588156113941666,29.59090909090909,1.8963634944733487,14.740849675013656,3.1164034892874946,72.0009496016965,4.118805040324012,13.258200723289862,3.163866300966973,32.12635904012172,7.806915376623309,45.822077911443515,5.60873576822547,22.05156304843479,3.7695482074444233,83.93694452484975,4.034181033807815,9.03339499438265,1.9784560105943467,7.029660480767602,2.8966142237976653,62.40244066944217,4.097011904976281,6,5,LU
4,4,32,751.21875,408.4524479272244,7.4481740656249995,0.1950114434454854,14.513224784375,0.7093245180392519,12.97260251875,1.4606485746123385,2330.40531158125,144.26006502292665,98.06847380937496,1.4578717439791387,21.125,0.3360107525161235,13.039105512967947,2.3628153065955555,60.538738357941966,4.989484142809808,26.422156129090098,5.5556837458403034,58.61339615757624,11.316391577935539,29.36379669972605,7.531081048501716,12.022807142697717,7.553789056664337,91.33961541321791,3.5546494423047967,7.074165978155179,3.287678385480315,1.5862186086269034,1.5426508870410454,61.56326228928833,6.593329603862567,6,5,LU
5,5,11,1443.4545454545455,1035.340945161193,7.817228227272727,0.17914708538123122,14.038720836363636,0.4251598364781379,14.802193209090909,1.787223354670398,2424.4400967727274,103.46874643869891,98.49548340000001,1.1472795104457032,21.454545454545453,0.5222329678671173,14.237259212546713,1.5966737534682751,67.69198594051394,3.650240492455442,18.07075484693934,3.3464866468966954,57.38424656221728,7.118874881869288,30.679190420003614,4.670876686931725,11.93656301777911,3.4065593166365815,89.06829636170264,2.1453848817546852,8.641018568962268,1.7748504595283376,2.2906850693351015,0.9712333114571154,99.34275807744447,0.5165591395310423,6,5,LU
6,6,145,1632.655172413793,1532.6504927888736,7.496194546896554,0.16250981836475353,14.986475960689651,0.6983385741013692,14.133145815862065,1.5682404989568266,2261.2230536082784,98.77853855668529,97.16949820068965,1.1304250378332488,21.386206896551723,0.8594750246561146,16.640130640646614,2.2070894753616286,68.19184856486322,2.839805181822302,15.168020794490179,2.781429431203071,57.173424669437814,9.55425017050717,29.251223561076618,6.311746253787997,13.575351769485588,4.71670278106656,89.44440730580061,3.1426405321405237,8.645195567678703,2.561578876779797,1.9103971265206456,1.1568266027420284,65.35243386325516,3.4990123486881584,6,5,LU
1,1,58,729.0689655172414,530.3035827685466,11.421956722413794,1.2818987588193136,18.559722277586204,2.1598485608206954,8.971024774137932,2.920738901754706,1894.2754979655176,235.71814129538933,90.66005864655168,1.9605732593758447,21.379310344827587,1.6630935685600645,27.73308488560516,4.740876724589587,62.4920286088274,3.3418092651738456,9.774886505567467,4.89798594723771,91.19509733807753,3.968964988573913,1.1480294148847885,0.7691867574097521,7.6568732470377014,3.5363988802196604,85.25116716043995,4.9140312523834115,14.25808793880866,4.789033208501304,0.4907449007514115,0.6103211546592215,78.77278556450361,4.438494568767021,7,6,LV
2,2,172,1183.7267441860465,871.5642593796134,9.47223445697674,1.3912749629811227,15.956032580813947,1.8749914300431247,9.392076082558138,2.0179036617177992,1692.1538909232538,158.1587728315566,88.06483340290694,1.4602871918566231,21.319767441860463,0.46774806220232507,18.788761139498906,2.617589898317568,61.9988552874098,2.3965518909443397,19.212383573091305,3.4376209740873107,93.33752020698934,3.161051782195912,0.8561580742347896,0.48525924243355667,5.806321718775905,3.0837913765271727,92.75977373214998,2.176332426323339,6.95119896943921,2.0851040570122974,0.28902729841082564,0.2698976179060869,76.78151852469973,4.814949303854873,7,6,LV
