,CNTR_CODE,PCs,ks,F-stat
0,AT,6,2.0,440.50047554983405
1,BE,6,6.0,983.9988980660397
2,BG,6,6.0,288.78688792091566
3,CY,5,3.0,89.19190553640384
4,CZ,6,7.0,554.930145855979
5,DE,6,3.0,4387.250815519295
6,DK,6,7.0,345.94726021122835
7,EE,6,7.0,101.16952348071841
8,EL,7,4.0,331.1381735762468
9,ES,6,5.0,1523.502722968734
10,FI,6,6.0,396.39282449791455
11,FR,6,7.0,3673.566588219667
12,HR,7,5.0,178.80587092607072
13,HU,6,5.0,564.5378694450684
14,IE,6,2.0,212.5541120626107
15,IT,6,2.0,3642.8092685696606
16,LT,6,7.0,191.33053133913853
17,LU,5,6.0,74.674208316994
18,LV,6,7.0,99.61507704399283
19,MT,4,7.0,55.471655431825006
20,NL,6,7.0,930.0011474749274
21,NO,6,6.0,438.4773226581569
22,PL,6,3.0,1773.1829338259981
23,PT,6,2.0,637.312202186264
24,RO,6,7.0,902.2910393719693
25,SE,6,6.0,623.2891572140202
26,SI,6,6.0,132.12130811842695
27,SK,6,7.0,285.26956877503807
